poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
79919,1307,Expedition Strategies,"","",Expedition Strategies,409,Expedition Strategies,,,Washington,8/25/22,8/30/22,30358,Marie Gluesenkamp Perez,DEM,160222,400,lv,,lv,,9/2/22 09:30,"",https://s3.documentcloud.org/documents/22274311/wa-03-poll-memo-fin.pdf,"",true,DEM,9412,2022,U.S. House,3,District 3,11/8/22,general,false,false,DEM,Perez,30358,Marie Gluesenkamp Perez,47.0
79919,1307,Expedition Strategies,"","",Expedition Strategies,409,Expedition Strategies,,,Washington,8/25/22,8/30/22,30358,Marie Gluesenkamp Perez,DEM,160222,400,lv,,lv,,9/2/22 09:30,"",https://s3.documentcloud.org/documents/22274311/wa-03-poll-memo-fin.pdf,"",true,DEM,9412,2022,U.S. House,3,District 3,11/8/22,general,false,false,REP,Kent,30696,Joe Kent,45.0
79926,187,Greenberg Quinlan Rosner,"","",GQR,126,GQR Research (GQRR),B,Live Phone,Florida,8/24/22,8/29/22,30417,Alan M. Cohn,DEM,160232,400,lv,,lv,,9/2/22 18:32,"",https://www.scribd.com/document/591140729/FL-15-Public-Memo-090222,"",true,DEM,9092,2022,U.S. House,15,District 15,11/8/22,general,false,false,DEM,Cohn,30417,Alan M. Cohn,44.0
79926,187,Greenberg Quinlan Rosner,"","",GQR,126,GQR Research (GQRR),B,Live Phone,Florida,8/24/22,8/29/22,30417,Alan M. Cohn,DEM,160232,400,lv,,lv,,9/2/22 18:32,"",https://www.scribd.com/document/591140729/FL-15-Public-Memo-090222,"",true,DEM,9092,2022,U.S. House,15,District 15,11/8/22,general,false,false,REP,Lee,30743,Laurel Lee,47.0
79909,383,PPP,"","",Public Policy Polling,263,Public Policy Polling,A-,IVR/Text,North Carolina,8/23/22,8/24/22,,"",,160205,506,v,,v,,9/1/22 10:22,"",https://indyweek.com/news/northcarolina/references-to-pro-life-values-mysteriously-disappear-from-bo-hines-website/,"",false,,9293,2022,U.S. House,13,District 13,11/8/22,general,false,false,DEM,Nickel,29832,Wiley Nickel,40.0
79909,383,PPP,"","",Public Policy Polling,263,Public Policy Polling,A-,IVR/Text,North Carolina,8/23/22,8/24/22,,"",,160205,506,v,,v,,9/1/22 10:22,"",https://indyweek.com/news/northcarolina/references-to-pro-life-values-mysteriously-disappear-from-bo-hines-website/,"",false,,9293,2022,U.S. House,13,District 13,11/8/22,general,false,false,REP,Hines,30160,Bo Hines,40.0
79818,1515,Data for Progress,"","",Data for Progress,522,Data for Progress,B,IVR/Online/Text/Live Phone,New York,8/17/22,8/22/22,,"",,159793,1222,lv,,lv,,8/23/22 11:07,"",https://www.filesforprogress.org/datasets/2022/8/dfp_ny_19_2022s_toplines.pdf,"",false,,9503,2022,U.S. House,19,District 19,8/23/22,general,false,false,DEM,Ryan,30430,Pat Ryan,45.0
79818,1515,Data for Progress,"","",Data for Progress,522,Data for Progress,B,IVR/Online/Text/Live Phone,New York,8/17/22,8/22/22,,"",,159793,1222,lv,,lv,,8/23/22 11:07,"",https://www.filesforprogress.org/datasets/2022/8/dfp_ny_19_2022s_toplines.pdf,"",false,,9503,2022,U.S. House,19,District 19,8/23/22,general,false,false,REP,Molinaro,30429,Marcus Molinaro,53.0
79835,187,Greenberg Quinlan Rosner,"","",GQR,126,GQR Research (GQRR),B,Live Phone,Arizona,8/16/22,8/21/22,30673,Kirsten Engel,DEM,159913,500,lv,,lv,,8/24/22 14:11,"",https://www.engelforarizona.com/_files/ugd/ddc900_2c8105f728174bbcb3b931a04ec0596a.pdf,"",true,DEM,9004,2022,U.S. House,6,District 6,11/8/22,general,false,false,DEM,Engel,30673,Kirsten Engel,49.0
79835,187,Greenberg Quinlan Rosner,"","",GQR,126,GQR Research (GQRR),B,Live Phone,Arizona,8/16/22,8/21/22,30673,Kirsten Engel,DEM,159913,500,lv,,lv,,8/24/22 14:11,"",https://www.engelforarizona.com/_files/ugd/ddc900_2c8105f728174bbcb3b931a04ec0596a.pdf,"",true,DEM,9004,2022,U.S. House,6,District 6,11/8/22,general,false,false,REP,Ciscomani,29372,Juan Ciscomani,47.0
